COMID,Lat,Lon,Elev_m
165737,-14.330422197999951,-56.82104781299995,0.0
165747,-14.315889080999966,-55.266833762999966,0.0
165749,-14.333668228999954,-56.71611363799997,0.0
165780,-14.343417613999975,-56.88342715599998,0.0
165813,-14.366217177999943,-56.94275002499995,0.0
165824,-14.362800910999965,-57.39249935699996,0.0
165825,-14.34635349599995,-57.339537407999956,0.0
165868,-14.370353198999965,-55.48232591999994,0.0
165875,-14.392341582999961,-55.616349415999935,0.0
165876,-14.425399909999953,-55.589828169999976,0.0
165879,-14.391811034999932,-56.85337157399994,0.0
165880,-14.383101729999964,-56.82658355399997,0.0
165883,-14.385064009999951,-55.24661980999997,0.0
165899,-14.41834748399998,-57.42978911599994,0.0
165932,-14.454910660999928,-57.53215192199997,0.0
165933,-14.446609515999967,-57.50057887299994,0.0
165934,-14.445894472999953,-55.55863088799998,0.0
165942,-14.456509074999929,-56.48587193399993,0.0
165968,-14.466791583999964,-55.50993947699993,0.0
165973,-14.463963753999963,-55.49141927199997,0.0
165980,-14.38435369399997,-57.253709715999946,0.0
165982,-14.484787876999974,-56.81099339999997,0.0
165983,-14.458328209999934,-56.811367607999955,0.0
166002,-14.491110721999974,-57.33728901799998,0.0
166003,-14.49032786999993,-57.30178484199996,0.0
166008,-14.480643408999981,-57.55670984599993,0.0
166009,-14.483620926999947,-57.40868749799995,0.0
166013,-14.426812555999959,-57.615523880999945,0.0
166014,-14.504029154999955,-57.58500825599998,0.0
166017,-14.473202494999953,-56.41515135699996,0.0
166072,-14.527410540999938,-57.61365907399994,0.0
166073,-14.524272215999929,-57.31940433899996,0.0
166078,-14.546135564999929,-57.617961831999935,0.0
166097,-14.546823080999957,-57.68113823799996,0.0
166098,-14.531023151999932,-56.64981860499995,0.0
166100,-14.558066017999977,-57.651933145999976,0.0
166109,-14.523283557999946,-56.574444255999936,0.0
166119,-14.533028824999974,-57.523560033999956,0.0
166156,-14.566001823999954,-57.92441144299994,0.0
166176,-14.538005450999947,-57.789085876999934,0.0
166177,-14.583625930999972,-57.702017318999935,0.0
166182,-14.575765843999932,-56.06816608699995,0.0
166183,-14.573061393999978,-56.01786303499995,0.0
166185,-14.602736598999968,-57.96978038699996,0.0
166192,-14.502506152999956,-55.74543512099996,0.0
166194,-14.577536988999952,-58.22973074399994,0.0
166206,-14.627781822999964,-58.21099496599999,0.0
166216,-14.62818520999997,-58.17706150899994,0.0
166217,-14.577108977999956,-58.14263541299994,0.0
166231,-14.564933594999957,-56.76140817299995,0.0
166232,-14.604295256999933,-56.68848534499995,0.0
166252,-14.648750100999962,-56.72124999999994,0.0
166253,-14.638280713999961,-56.101374014999976,0.0
166266,-14.648856184999943,-55.738174425999944,0.0
166267,-14.660508582999967,-56.69311535899993,0.0
166279,-14.646265673999949,-58.49662735199996,0.0
166280,-14.666851839999936,-58.467345647999934,0.0
166297,-14.667816739999978,-55.97338226299996,0.0
166305,-14.672339647999934,-56.18457595299998,0.0
166313,-14.649045010999941,-57.85801861899995,0.0
166314,-14.665215500999977,-57.77772229399994,0.0
166327,-14.715112201999943,-56.33046766199993,0.0
166328,-14.676866125999936,-56.29891636699995,0.0
166360,-14.68848350099995,-58.12574717899997,0.0
166366,-14.744251510999959,-58.10258773099997,0.0
166370,-14.742379121999932,-54.94809241699994,0.0
166375,-14.736841911999932,-56.31457818599995,0.0
166385,-14.736710458999937,-56.277402965999954,0.0
166416,-14.761323038999933,-55.14332411799995,0.0
166418,-14.77397917099995,-55.030393930999935,0.0
166435,-14.782222986999955,-54.88690256299998,0.0
166444,-14.745104462999961,-57.155052602999945,0.0
166450,-14.796917709999946,-58.32610323299997,0.0
166451,-14.75069780399997,-58.20037815999996,0.0
166452,-14.794871973999932,-57.17999163899998,0.0
166462,-14.796745233999957,-55.15284740799996,0.0
166463,-14.79236741799997,-55.13120950999996,0.0
166469,-14.749303383999973,-56.17028274799998,0.0
166470,-14.799447851999957,-55.244448545999944,0.0
166472,-14.77841090399994,-58.125087571999984,0.0
166478,-14.792959113999927,-55.343337359999964,0.0
166482,-14.734568133999971,-55.527928704999965,0.0
166494,-14.810282636999943,-55.19861967199995,0.0
166514,-14.81761154399993,-56.99025313699997,0.0
166515,-14.731789882999976,-56.91130855999995,0.0
166519,-14.810260556999935,-55.09369608099996,0.0
166522,-14.831107818999953,-55.34589296699994,0.0
166523,-14.819134346999931,-55.29757842899994,0.0
166529,-14.845208340999932,-55.817708332999985,0.0
166538,-14.785958087999973,-58.64839773199998,0.0
166539,-14.763725669999928,-58.551415471999974,0.0
166547,-14.813020336999955,-57.407459779999954,0.0
166552,-14.788160424999944,-57.79980681099994,0.0
166555,-14.821536303999949,-57.736978445999966,0.0
166564,-14.836399591999964,-58.30466385999995,0.0
166568,-14.85525531899998,-55.051069593999955,0.0
166570,-14.862045240999976,-55.80331621399995,0.0
166571,-14.851949223999952,-55.71148534399998,0.0
166572,-14.875337496999975,-58.63800277299998,0.0
166573,-14.865620960999934,-58.62518322799997,0.0
166574,-14.851543288999949,-55.50861978299997,0.0
166579,-14.843583011999954,-55.14784465599996,0.0
166613,-14.846125746999974,-56.05035460999994,0.0
166614,-14.864354509999941,-55.91237385699998,0.0
166615,-14.872204155999952,-57.446501989999945,0.0
166616,-14.871890700999927,-55.336050117999946,0.0
166690,-14.862528433999955,-56.38717860899993,0.0
166697,-14.890945152999961,-54.95984884999996,0.0
166702,-14.957630853999945,-56.46073208499996,0.0
166704,-14.955008758999952,-56.52237571399996,0.0
166709,-14.890928893999956,-56.14121001399997,0.0
166713,-14.808622044999936,-56.665666632999944,0.0
166718,-14.925944303999927,-55.75330201199995,0.0
166734,-14.94145647199997,-55.98996579699997,0.0
166747,-14.844462807999946,-57.89729597699994,0.0
166748,-14.91967834999997,-57.748370137999984,0.0
166769,-14.98117741699997,-56.795621497999946,0.0
166777,-14.993571463999956,-55.72643628299994,0.0
166782,-14.838408267999966,-56.848409034999975,0.0
166794,-15.016218770999956,-56.970648435999976,0.0
166796,-15.007029709999927,-56.894263455999976,0.0
166818,-14.918656379999959,-57.14911797399998,0.0
166819,-14.935191256999929,-57.06753043799995,0.0
166835,-15.026048406999962,-57.95961811799998,0.0
166836,-15.03482370699993,-57.939289634999966,0.0
166839,-15.020002618999968,-55.59517202099994,0.0
166842,-15.041313767999952,-55.78462192599994,0.0
166854,-15.058373139999958,-57.96223245999994,0.0
166866,-15.04996807799995,-58.02259149399998,0.0
166868,-15.068743981999944,-56.630635163999955,0.0
166869,-15.009129077999944,-56.54049763599994,0.0
166887,-15.047580394999954,-57.28107465199997,0.0
166892,-15.077179532999935,-55.38034181399996,0.0
166895,-15.078025141999944,-55.46247672399994,0.0
166896,-15.090795305999961,-55.41344292799994,0.0
166899,-15.08853083799994,-57.240187343999935,0.0
166900,-14.960710911999968,-57.25500551499994,0.0
166908,-15.069684947999974,-57.167412802999934,0.0
166912,-15.093372373999955,-57.274438429999975,0.0
166914,-14.98842222899998,-58.70159757799996,0.0
166915,-15.076918064999973,-57.38737085699995,0.0
166918,-15.103364089999957,-58.742786422999984,0.0
166921,-15.063486979999936,-56.902067802999966,0.0
166928,-15.102179500999966,-57.220877265999945,0.0
166929,-15.106323326999927,-57.19754219799995,0.0
166936,-15.104701512999952,-57.15745181099999,0.0
166937,-15.068516863999946,-57.05535794499997,0.0
166963,-15.122753037999928,-57.32923968099993,0.0
166964,-15.109781317999932,-55.22813299699993,0.0
166965,-15.076193203999935,-55.70497026999993,0.0
166982,-15.051465882999935,-56.45056970199994,0.0
166988,-15.13486388399997,-56.487899040999935,0.0
167022,-15.155548321999959,-55.67122189099996,0.0
167046,-15.163219100999981,-55.71861159499997,0.0
167068,-15.173052200999962,-56.414150020999955,0.0
167075,-15.20468514199996,-56.37060296599998,0.0
167076,-15.167475427999932,-56.36026980799994,0.0
167088,-15.196144550999975,-55.69342037599995,0.0
167090,-15.143047474999946,-56.662555451999935,0.0
167102,-15.172684870999944,-55.363782356999934,0.0
167123,-15.212383897999928,-55.637345651999965,0.0
167129,-15.231593768999971,-56.33324836099996,0.0
167130,-15.23119840499993,-56.28554930699994,0.0
167155,-15.120262020999974,-58.14351007299996,0.0
167178,-15.254371590999938,-58.14210311099998,0.0
167220,-15.302268384999934,-56.57913157499996,0.0
167223,-15.253372570999943,-56.47955322599995,0.0
167230,-15.197100277999937,-57.743946763999986,0.0
167231,-15.144662209999979,-57.69635197599996,0.0
167240,-15.214371872999948,-57.21677521299995,0.0
167243,-15.311853637999945,-57.20645078699994,0.0
167248,-15.21941112099995,-58.72091256999994,0.0
167249,-15.230703839999933,-58.65083288499994,0.0
167265,-15.322117803999959,-57.73454059399995,0.0
167272,-15.291273296999975,-56.28492450799996,0.0
167274,-15.325995967999972,-57.76586528599995,0.0
167280,-15.315962707999972,-57.31077011199994,0.0
167283,-15.340539483999976,-57.28353398499996,0.0
167284,-15.333831283999928,-57.246385406999934,0.0
167308,-15.305139534999967,-58.04973373699994,0.0
167313,-15.310534786999938,-55.59002816499998,0.0
167319,-15.351588376999928,-56.26181552699995,0.0
167320,-15.273674157999949,-56.120978700999956,0.0
167326,-15.225565847999974,-55.49054879499994,0.0
167327,-15.308839601999978,-55.62602016699998,0.0
167329,-15.355522478999944,-55.35680506199998,0.0
167346,-15.241026580999971,-57.01985342499995,0.0
167347,-15.367415361999974,-56.95699068299996,0.0
167385,-15.214947438999957,-58.31452646599996,0.0
167387,-15.383834521999972,-57.35594912399995,0.0
167388,-15.37520610599995,-57.309857987999976,0.0
167392,-15.374221924999972,-57.240975796999976,0.0
167403,-15.393469821999929,-57.976735436999945,0.0
167418,-15.425086576999945,-57.195600974999934,0.0
167419,-15.429542509999976,-56.666445316999955,0.0
167421,-15.373804900999971,-56.60280148199996,0.0
167433,-15.410045547999971,-56.24061462599997,0.0
167469,-15.390248028999963,-57.444538860999955,0.0
167470,-15.45244803099996,-57.34488325299998,0.0
167480,-15.455401127999949,-57.99572152099995,0.0
167486,-15.278963402999977,-57.891400774999966,0.0
167492,-15.468175870999971,-57.89177663199996,0.0
167502,-15.417771974999937,-58.22794828699995,0.0
167514,-15.480861128999948,-56.215275874999975,0.0
167516,-15.486077991999935,-56.15093945499996,0.0
167523,-15.475662334999981,-56.69298458199995,0.0
